        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Fan 1 Speed (%) [%] , Fan 1 Speed (RPM) [RPM] , Fan 2 Speed (%) [%] , Fan 2 Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , PWR_SRC Power Draw [W] , PWR_SRC Voltage [V] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2024-04-20 13:02:36 ,        2490.0   ,           2062.7   ,               59.2   ,        68.5   ,                47   ,                  1552   ,                47   ,                  1553   ,           5392   ,         99   ,                       98   ,                   0   ,                    0   ,              105.1   ,                  57.6   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        1.0000   ,               44.0   ,                  7122   ,
2024-04-20 13:02:37 ,        2490.0   ,           2062.7   ,               57.2   ,        67.4   ,                47   ,                  1554   ,                47   ,                  1552   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              106.1   ,                  58.6   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9950   ,               48.0   ,                  7122   ,
2024-04-20 13:02:38 ,        2475.0   ,           2062.7   ,               59.5   ,        68.5   ,                47   ,                  1554   ,                47   ,                  1552   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              113.2   ,                  65.7   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9500   ,               50.0   ,                  7123   ,
2024-04-20 13:02:39 ,        2520.0   ,           2062.7   ,               58.4   ,        66.6   ,                47   ,                  1552   ,                47   ,                  1552   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              118.0   ,                  70.5   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9900   ,               47.0   ,                  7122   ,
2024-04-20 13:02:40 ,        2550.0   ,           2062.7   ,               57.3   ,        63.5   ,                47   ,                  1551   ,                47   ,                  1555   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              120.8   ,                  73.3   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9950   ,               48.0   ,                  7119   ,
2024-04-20 13:02:41 ,        2520.0   ,           2062.7   ,               57.6   ,        64.1   ,                47   ,                  1552   ,                47   ,                  1555   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              112.9   ,                  65.4   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9750   ,               50.0   ,                  7122   ,
2024-04-20 13:02:42 ,        2535.0   ,           2062.7   ,               57.6   ,        64.2   ,                47   ,                  1554   ,                47   ,                  1553   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              126.3   ,                  78.8   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9850   ,               49.0   ,                  7121   ,
2024-04-20 13:02:43 ,        2550.0   ,           2062.7   ,               59.6   ,        70.3   ,                47   ,                  1555   ,                47   ,                  1554   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              126.5   ,                  79.0   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9750   ,               49.0   ,                  7121   ,
2024-04-20 13:02:44 ,        2520.0   ,           2062.7   ,               57.7   ,        64.4   ,                47   ,                  1555   ,                47   ,                  1553   ,           5392   ,         99   ,                      100   ,                   0   ,                    0   ,              132.0   ,                  84.5   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9500   ,               45.0   ,                  7122   ,
2024-04-20 13:02:45 ,        2595.0   ,           2062.7   ,               58.1   ,        64.8   ,                47   ,                  1555   ,                47   ,                  1555   ,           5392   ,         99   ,                       99   ,                   0   ,                    0   ,              121.4   ,                  73.9   ,                 47.5   ,              12.0   ,                         0.0   ,               1   ,        0.9500   ,               48.0   ,                  7120   ,
